Date,Radio Flux 10.7cm,Sunspot Number,Sunspot Area (10^6 Hemis.),New Regions,Stanford Mean Solar Field (GOES15),Stanford Background X-Ray Flux,Flares: C,Flares: M,Flares: X,Flares: S,Flares: 1,Flares: 2,Flares: 3
1997-03-27,72,13,40,1,-10,A2.0,1,0,0,-1,-1,-1,-1
1997-03-28,73,18,80,0,-10,A3.7,1,0,0,-1,-1,-1,-1
1997-03-29,75,26,100,0,-16,A4.3,0,0,0,-1,-1,-1,-1
1997-03-30,74,29,140,0,-8,A5.2,0,0,0,-1,-1,-1,-1
1997-03-31,75,22,90,0,-1,A2.3,0,0,0,-1,-1,-1,-1
1997-04-01,76,23,70,0,-4,A4.6,3,1,0,5,1,0,0
1997-04-02,81,52,120,1,-4,B1.0,2,0,0,8,0,0,0
1997-04-03,79,46,160,0,3,A7.9,1,0,0,0,0,0,0
1997-04-04,79,36,160,0,-4,A4.3,0,0,0,0,0,0,0
1997-04-05,80,36,100,0,7,A4.3,0,0,0,3,0,0,0
1997-04-06,78,28,60,0,-3,A3.8,0,0,0,1,0,0,0
1997-04-07,77,16,30,0,5,B2.2,1,0,0,0,1,0,1
1997-04-08,76,27,30,1,3,A4.1,0,0,0,0,0,0,0
1997-04-09,78,30,30,1,0,A2.8,1,0,0,1,0,0,0
1997-04-10,78,47,130,1,6,A4.1,0,0,0,1,0,0,0
1997-04-11,77,31,140,0,-2,A2.0,0,0,0,0,0,0,0
1997-04-12,76,30,80,1,-20,A1.4,0,0,0,0,0,0,0
1997-04-13,79,34,90,0,-15,A3.2,0,0,0,0,0,0,0
1997-04-14,77,45,110,1,-15,A6.9,1,0,0,0,0,0,0
1997-04-15,79,39,210,0,-11,A4.5,2,0,0,4,0,0,0
1997-04-16,75,33,180,0,-8,A8.6,0,0,0,1,0,0,0
1997-04-17,72,29,40,1,-1,A5.5,0,0,0,0,0,0,0
1997-04-18,70,13,10,0,-999,A1.9,0,0,0,0,0,0,0
1997-04-19,70,12,10,1,10,A0.0,0,0,0,0,0,0,0
1997-04-20,70,0,0,0,-22,A0.0,0,0,0,0,0,0,0
1997-04-21,70,0,0,0,-999,A0.0,0,0,0,0,0,0,0
1997-04-22,71,12,10,1,-999,A0.0,0,0,0,0,0,0,0
1997-04-23,69,13,0,0,-4,A0.0,0,0,0,0,0,0,0
1997-04-24,70,13,0,0,2,A0.0,0,0,0,0,0,0,0
1997-04-25,69,12,0,0,-5,A0.0,0,0,0,0,0,0,0
1997-04-26,71,32,30,1,-5,A0.0,0,0,0,0,0,0,0
1997-04-27,73,17,30,0,-10,A1.8,0,0,0,0,0,0,0
1997-04-28,72,17,30,0,6,A1.4,0,0,0,0,0,0,0
1997-04-29,72,12,0,0,-11,A0.0,0,0,0,0,0,0,0
1997-04-30,73,0,0,0,-8,A1.3,0,0,0,0,0,0,0
1997-05-01,72,0,0,0,-6,A1.4,0,0,0,0,0,0,0
1997-05-02,72,0,0,0,-3,A0.0,0,0,0,0,0,0,0
1997-05-03,71,13,10,1,-4,A1.0,0,0,0,0,0,0,0
1997-05-04,71,11,0,0,2,A1.8,0,0,0,0,0,0,0
1997-05-05,72,11,120,1,0,A7.9,0,0,0,0,0,0,0
1997-05-06,72,11,90,0,0,A1.5,0,0,0,0,0,0,0
1997-05-07,72,11,70,0,2,A1.1,0,0,0,0,0,0,0
1997-05-08,72,23,90,1,2,A1.1,0,0,0,0,0,0,0
1997-05-09,72,14,90,0,-6,A0.0,0,0,0,0,0,0,0
1997-05-10,72,23,90,0,-12,A0.0,0,0,0,0,0,0,0
1997-05-11,72,26,90,0,-13,A1.1,0,0,0,0,0,0,0
1997-05-12,72,12,60,0,-4,A2.2,1,0,0,0,1,0,0
1997-05-13,74,15,70,0,-10,A1.2,0,0,0,0,0,0,0
1997-05-14,74,17,70,0,-18,A6.4,0,0,0,0,0,0,0
1997-05-15,73,15,50,0,-3,A3.3,0,0,0,0,0,0,0
1997-05-16,80,27,40,1,-5,A1.3,0,0,0,1,0,0,0
1997-05-17,73,47,10,2,11,A1.5,0,0,0,0,0,0,0
1997-05-18,74,32,60,0,4,A2.5,0,0,0,0,0,0,0
1997-05-19,74,51,160,2,2,A3.2,0,0,0,0,0,0,0
1997-05-20,79,57,150,0,2,A2.7,1,0,0,0,0,0,0
1997-05-21,85,79,260,1,0,B1.3,1,1,0,18,0,0,0
1997-05-22,81,66,250,0,-3,B1.5,0,0,0,0,0,0,0
1997-05-23,76,58,170,1,6,A8.5,0,0,0,1,0,0,0
1997-05-24,77,52,150,0,-999,A7.8,0,0,0,1,0,0,0
1997-05-25,78,50,130,0,-6,A3.9,0,0,0,1,0,0,0
1997-05-26,80,38,100,0,-13,B1.1,0,0,0,0,0,0,0
1997-05-27,78,43,40,1,-18,B1.5,2,0,0,4,1,0,0
1997-05-28,77,25,30,0,-3,A8.4,1,0,0,1,0,0,0
1997-05-29,76,27,50,0,-7,A4.8,0,0,0,0,0,0,0
1997-05-30,75,35,30,2,-4,A3.6,0,0,0,0,0,0,0
1997-05-31,73,29,50,0,-999,A2.0,0,0,0,1,0,0,0
1997-06-01,77,33,70,0,-999,A2.2,0,0,0,2,0,0,0
1997-06-02,77,35,120,0,2,A4.5,0,0,0,0,0,0,0
1997-06-03,75,20,150,0,-999,A4.2,0,0,0,0,0,0,0
1997-06-04,74,16,110,0,-3,A3.6,0,0,0,0,0,0,0
1997-06-05,74,15,120,0,4,A2.2,0,0,0,0,0,0,0
1997-06-06,74,15,110,0,-7,A2.5,0,0,0,0,0,0,0
1997-06-07,75,17,90,0,-2,A3.3,0,0,0,0,0,0,0
1997-06-08,73,36,30,2,-1,A3.6,0,0,0,0,0,0,0
1997-06-09,73,23,20,0,-2,A1.5,0,0,0,0,0,0,0
1997-06-10,72,11,10,0,1,A2.3,0,0,0,0,0,0,0
1997-06-11,71,11,10,0,1,A2.2,0,0,0,0,0,0,0
1997-06-12,70,26,40,1,3,A0.0,0,0,0,0,0,0,0
1997-06-13,70,27,30,0,11,A1.0,0,0,0,0,0,0,0
1997-06-14,71,31,40,0,-7,A0.0,0,0,0,0,0,0,0
1997-06-15,71,29,30,0,6,A1.2,0,0,0,0,0,0,0
1997-06-16,72,38,70,0,9,A0.0,0,0,0,0,0,0,0
1997-06-17,70,31,30,0,17,A1.1,0,0,0,0,0,0,0
1997-06-18,71,29,40,1,5,A0.0,0,0,0,0,0,0,0
1997-06-19,70,16,20,0,7,A0.0,0,0,0,0,0,0,0
1997-06-20,70,23,10,1,1,A0.0,0,0,0,0,0,0,0
1997-06-21,68,11,0,0,-11,A0.0,0,0,0,0,0,0,0
1997-06-22,70,15,10,1,-14,A0.0,0,0,0,0,0,0,0
1997-06-23,69,14,10,0,-11,A0.0,0,0,0,0,0,0,0
1997-06-24,70,14,10,0,-11,A0.0,0,0,0,0,0,0,0
1997-06-25,72,34,40,1,-11,A0.0,0,0,0,0,0,0,0
1997-06-26,72,23,40,0,9,A1.4,0,0,0,0,0,0,0
1997-06-27,72,19,30,0,13,A2.1,0,0,0,0,0,0,0
1997-06-28,71,26,10,1,0,A1.4,0,0,0,0,0,0,0
1997-06-29,70,24,0,0,6,A1.0,1,0,0,0,0,0,0
1997-06-30,70,0,0,0,4,A5.7,0,0,0,0,0,0,0
1997-07-01,70,0,0,0,4,A0.0,0,0,0,0,0,0,0
1997-07-02,70,12,10,1,-5,A0.0,0,0,0,0,0,0,0
1997-07-03,69,12,0,0,-14,A0.0,0,0,0,0,0,0,0
1997-07-04,70,12,0,1,-10,A0.0,0,0,0,0,0,0,0
1997-07-05,70,11,0,0,0,A0.0,0,0,0,0,0,0,0
1997-07-06,68,11,0,0,1,A0.0,0,0,0,0,0,0,0
1997-07-07,70,26,30,1,1,A0.0,0,0,0,0,0,0,0
1997-07-08,70,25,10,0,13,A0.0,0,0,0,0,0,0,0
1997-07-09,70,31,50,0,-5,A0.0,0,0,0,0,0,0,0
1997-07-10,69,17,10,0,8,A0.0,0,0,0,0,0,0,0
1997-07-11,69,0,0,0,3,A0.0,0,0,0,0,0,0,0
1997-07-12,67,0,0,0,0,A0.0,1,0,0,0,0,0,0
1997-07-13,67,0,0,0,0,A0.0,0,0,0,0,0,0,0
1997-07-14,68,11,10,1,9,A0.0,0,0,0,0,0,0,0
1997-07-15,69,0,0,0,-999,A0.0,0,0,0,0,0,0,0
1997-07-16,70,0,0,0,13,A0.0,0,0,0,0,0,0,0
1997-07-17,70,11,0,1,-2,A0.0,0,0,0,0,0,0,0
1997-07-18,70,11,0,0,-999,A0.0,0,0,0,0,0,0,0
1997-07-19,71,0,0,0,-999,A0.0,0,0,0,0,0,0,0
1997-07-20,71,12,10,1,-999,A0.0,0,0,0,0,0,0,0
1997-07-21,71,0,0,0,-999,A4.3,0,0,0,0,0,0,0
1997-07-22,72,11,10,1,-13,A0.0,0,0,0,0,0,0,0
1997-07-23,76,31,60,0,-999,A1.7,0,0,0,0,0,0,0
1997-07-24,79,44,90,1,2,A3.9,0,0,0,3,0,0,0
1997-07-25,80,65,200,1,1,B1.1,3,0,0,8,0,0,0
1997-07-26,77,58,180,0,11,B1.1,0,0,0,1,0,0,0
1997-07-27,75,53,180,0,0,A4.0,0,0,0,3,0,0,0
1997-07-28,74,26,10,0,-8,A3.3,0,0,0,0,0,0,0
1997-07-29,73,24,0,0,-13,A4.5,0,0,0,2,0,0,0
1997-07-30,71,12,0,0,-15,A1.9,0,0,0,0,0,0,0
1997-07-31,70,0,0,0,-10,A0.0,0,0,0,0,0,0,0
1997-08-01,71,0,0,0,-4,A0.0,0,0,0,0,0,0,0
1997-08-02,71,11,10,1,-10,A1.1,0,0,0,0,0,0,0
1997-08-03,72,27,30,1,2,A0.0,0,0,0,3,0,0,0
1997-08-04,73,12,20,0,1,A0.0,0,0,0,0,0,0,0
1997-08-05,75,39,30,2,8,A0.0,0,0,0,0,0,0,0
1997-08-06,77,45,120,0,2,A2.8,0,0,0,1,0,0,0
1997-08-07,78,55,140,0,7,A2.0,0,0,0,8,0,0,0
1997-08-08,78,65,230,1,15,A4.1,0,0,0,4,0,0,0
1997-08-09,78,61,90,1,8,A7.3,5,0,0,3,0,0,0
1997-08-10,78,31,40,0,18,B2.0,4,0,0,0,0,0,0
1997-08-11,80,53,220,2,8,B2.2,1,0,0,1,0,0,0
1997-08-12,81,57,140,0,10,A7.9,0,0,0,3,0,0,0
1997-08-13,82,61,180,0,6,A5.3,0,0,0,2,0,0,0
1997-08-14,80,49,140,0,5,A5.9,1,0,0,1,0,0,0
1997-08-15,78,60,120,1,-2,A3.6,0,0,0,0,0,0,0
1997-08-16,78,33,100,0,-5,A4.3,0,0,0,0,0,0,0
1997-08-17,76,23,60,0,-1,A5.3,0,0,0,0,0,0,0
1997-08-18,76,11,60,0,-10,A1.7,0,0,0,0,0,0,0
1997-08-19,74,11,60,0,-999,A1.3,0,0,0,0,0,0,0
1997-08-20,75,11,50,0,-999,A1.0,0,0,0,0,0,0,0
1997-08-21,75,11,60,0,1,A1.5,0,0,0,1,0,0,0
1997-08-22,76,30,190,0,5,A4.2,0,0,0,0,0,0,0
1997-08-23,77,11,20,0,15,A8.0,0,0,0,0,0,0,0
1997-08-24,78,0,0,0,3,A5.3,0,0,0,1,0,0,0
1997-08-25,82,32,90,2,3,A5.9,2,0,0,3,0,0,0
1997-08-26,84,30,160,0,10,B1.4,2,0,0,4,0,0,0
1997-08-27,82,33,110,1,-4,A7.2,0,0,0,1,0,0,0
1997-08-28,91,61,220,1,-15,B1.2,0,0,0,3,0,0,0
1997-08-29,92,67,280,0,-14,B2.0,2,1,0,12,0,0,0
1997-08-30,92,69,220,1,0,B7.7,1,0,0,3,0,0,0
1997-08-31,96,80,240,1,-999,B1.3,3,0,0,7,0,0,0
1997-09-01,93,90,240,1,-10,B1.9,2,0,0,1,0,0,0
1997-09-02,92,67,240,0,-1,B1.2,3,1,0,6,1,0,0
1997-09-03,93,55,250,1,8,B2.5,4,0,0,7,1,0,0
1997-09-04,93,56,320,0,19,B1.5,0,0,0,4,0,0,0
1997-09-05,96,79,400,1,23,B1.7,1,0,0,5,0,0,0
1997-09-06,98,85,410,1,15,B2.0,1,0,0,2,0,0,0
1997-09-07,102,84,640,0,38,B4.2,3,0,0,12,0,0,0
1997-09-08,119,97,1000,0,37,B3.1,4,1,0,8,0,0,0
1997-09-09,116,101,1370,0,29,B4.2,2,0,0,6,2,0,0
1997-09-10,115,95,1590,0,22,B2.8,1,0,0,5,0,0,0
1997-09-11,109,98,1450,1,19,B2.1,0,0,0,4,0,0,0
1997-09-12,109,97,1050,0,29,B1.9,3,0,0,8,0,0,0
1997-09-13,108,51,760,0,31,B2.4,1,0,0,6,0,0,0
1997-09-14,103,74,790,0,17,B2.0,6,0,0,6,1,0,0
1997-09-15,98,61,770,0,12,B3.6,5,0,0,15,0,0,0
1997-09-16,95,62,790,0,-5,B2.3,2,0,0,2,0,0,0
1997-09-17,93,52,490,0,5,B1.9,6,2,0,3,0,0,0
1997-09-18,88,30,200,0,5,B3.2,6,0,0,0,0,0,0
1997-09-19,88,18,90,0,2,B2.4,4,0,0,0,1,0,0
1997-09-20,88,15,60,0,6,B3.3,1,0,0,1,0,0,0
1997-09-21,85,39,90,2,8,B2.0,1,0,0,0,0,0,0
1997-09-22,89,47,230,0,21,B1.0,7,0,0,12,0,0,0
1997-09-23,92,48,290,0,25,B1.0,3,0,0,8,0,0,0
1997-09-24,93,47,300,0,12,B2.6,5,2,0,5,2,0,0
1997-09-25,89,50,320,0,19,B1.5,2,0,0,3,1,0,0
1997-09-26,89,40,260,0,7,A9.1,1,0,0,1,0,0,0
1997-09-27,88,33,240,0,-3,A6.6,0,0,0,0,0,0,0
1997-09-28,87,23,260,0,0,B1.4,1,0,0,0,0,0,0
1997-09-29,90,27,220,1,-10,A8.9,1,0,0,2,0,0,0
1997-09-30,88,25,260,1,-2,B2.1,0,0,0,0,0,0,0
1997-10-01,87,38,160,1,13,B1.8,0,0,0,0,0,0,0
1997-10-02,86,26,80,0,17,A8.5,1,0,0,2,0,0,0
1997-10-03,86,27,90,0,20,A7.9,0,0,0,2,0,0,0
1997-10-04,83,26,70,0,19,A7.3,0,0,0,0,0,0,0
1997-10-05,84,26,40,0,12,A4.3,0,0,0,1,0,0,0
1997-10-06,84,24,20,0,8,A3.7,0,0,0,0,0,0,0
1997-10-07,84,35,10,1,2,A3.7,0,0,0,0,0,0,0
1997-10-08,83,17,10,0,-999,A4.4,0,0,0,0,0,0,0
1997-10-09,84,27,20,1,6,A3.5,0,0,0,1,0,0,0
1997-10-10,84,44,40,1,-1,A4.1,0,0,0,1,0,0,0
1997-10-11,86,31,50,0,-999,A3.1,0,0,0,1,0,0,0
1997-10-12,89,60,90,1,-999,A4.5,0,0,0,0,0,0,0
1997-10-13,88,48,110,0,-999,A6.8,1,0,0,1,1,0,0
1997-10-14,85,44,110,1,-999,A6.5,0,0,0,1,0,0,0
1997-10-15,87,47,180,1,-999,A5.8,0,0,0,0,0,0,0
1997-10-16,88,45,170,0,-999,A7.2,0,0,0,1,0,0,0
1997-10-17,88,52,190,0,-999,B2.3,0,0,0,3,0,0,0
1997-10-18,87,45,130,0,-999,*,0,0,0,0,0,0,0
1997-10-19,85,37,90,0,-999,*,0,0,0,0,0,0,0
1997-10-20,83,25,60,0,-999,*,0,0,0,0,0,0,0
1997-10-21,85,27,50,0,-6,A4.8,1,0,0,1,0,0,0
1997-10-22,81,13,10,0,-7,A6.0,0,0,0,0,0,0,0
1997-10-23,80,0,0,0,6,A1.6,0,0,0,0,0,0,0
1997-10-24,79,11,0,1,-16,A1.3,0,0,0,0,0,0,0
1997-10-25,81,13,20,1,-999,A1.6,0,0,0,0,0,0,0
1997-10-26,82,14,30,0,9,A4.3,0,0,0,0,0,0,0
1997-10-27,84,44,140,1,-999,A5.1,0,0,0,1,0,0,0
1997-10-28,86,50,190,0,12,A5.4,2,0,0,1,1,0,0
1997-10-29,87,41,210,0,-10,A5.2,0,0,0,0,0,0,0
1997-10-30,88,51,250,0,10,A7.1,0,0,0,2,0,0,0
1997-10-31,91,55,290,1,8,A6.8,0,0,0,1,0,0,0
1997-11-01,93,62,230,0,6,B1.2,0,0,0,2,0,0,0
1997-11-02,98,74,340,1,1,A8.3,2,0,0,12,0,0,0
1997-11-03,110,66,660,0,-999,B2.2,15,3,0,16,2,0,0
1997-11-04,118,68,1030,1,-20,C1.5,13,2,1,29,2,1,0
1997-11-05,114,51,940,0,-5,B8.2,7,0,0,17,1,0,0
1997-11-06,105,60,840,0,-999,B9.7,3,0,1,7,1,1,0
1997-11-07,94,60,690,1,0,B2.2,2,0,0,4,0,0,0
1997-11-08,90,61,580,1,9,B1.9,1,0,0,0,0,0,0
1997-11-09,86,40,40,0,12,B1.2,0,0,0,1,0,0,0
1997-11-10,89,28,120,0,-17,A9.5,4,0,0,3,0,0,0
1997-11-11,92,28,160,1,-999,B1.7,4,0,0,8,0,0,0
1997-11-12,87,26,100,0,-7,B2.2,4,0,0,0,0,0,0
1997-11-13,90,41,180,2,-999,B2.1,10,0,0,2,0,0,0
1997-11-14,93,48,350,0,-999,B1.7,3,0,0,8,0,0,0
1997-11-15,96,35,450,0,-999,B2.0,2,0,0,0,0,0,0
1997-11-16,96,58,390,1,-999,B3.6,3,0,0,3,0,0,0
1997-11-17,94,74,450,0,0,B2.3,3,0,0,10,0,0,0
1997-11-18,92,71,380,1,-999,B1.1,0,0,0,3,0,0,0
1997-11-19,99,62,290,0,-999,A7.3,1,0,0,1,0,0,0
1997-11-20,89,57,310,0,-22,B3.0,0,0,0,3,0,0,0
1997-11-21,96,52,360,0,-999,B1.0,4,0,0,13,0,0,0
1997-11-22,100,62,410,1,-999,B1.5,2,0,0,2,0,0,0
1997-11-23,100,70,350,1,0,B1.9,2,0,0,5,0,0,0
1997-11-24,103,61,320,0,-13,B1.7,2,1,0,2,1,0,0
1997-11-25,102,58,260,1,-999,B3.1,9,0,0,1,0,0,0
1997-11-26,108,43,360,0,-999,B3.7,5,1,0,7,0,0,0
1997-11-27,111,44,620,0,-999,B3.4,6,0,1,4,0,1,0
1997-11-28,116,40,680,0,-999,B5.9,6,2,0,9,1,1,0
1997-11-29,112,48,720,0,-999,B4.4,3,1,0,5,0,1,0
1997-11-30,112,56,940,0,-999,B4.0,3,0,0,6,1,0,0
1997-12-01,117,73,560,0,-1,B2.3,7,1,0,9,2,0,0
1997-12-02,112,54,610,0,-17,B2.4,1,0,0,2,0,0,0
1997-12-03,112,54,610,1,-999,B4.4,7,0,0,8,0,0,0
1997-12-04,107,34,320,0,-999,B1.9,1,0,0,3,0,0,0
1997-12-05,104,58,350,2,-999,B1.5,0,0,0,0,0,0,0
1997-12-06,109,44,320,0,-999,B1.5,2,0,0,0,0,0,0
1997-12-07,99,70,290,1,-999,B3.9,0,0,0,0,0,0,0
1997-12-08,98,97,270,3,5,B1.3,0,0,0,0,0,0,0
1997-12-09,97,94,270,1,12,B1.7,0,0,0,0,0,0,0
1997-12-10,95,72,280,0,2,B1.5,0,0,0,0,0,0,0
1997-12-11,96,99,230,1,-2,B1.5,0,0,0,0,0,0,0
1997-12-12,93,64,250,0,-12,B1.8,4,0,0,4,0,0,0
1997-12-13,89,70,260,0,-999,B1.1,0,0,0,0,0,0,0
1997-12-14,90,66,230,1,-999,B1.6,1,0,0,3,0,0,0
1997-12-15,89,56,220,0,-5,B1.4,2,0,0,6,0,0,0
1997-12-16,85,43,240,0,-4,B1.1,0,0,0,1,0,0,0
1997-12-17,86,42,200,0,-999,A6.2,0,0,0,0,0,0,0
1997-12-18,86,35,130,0,-10,A4.5,0,0,0,0,0,0,0
1997-12-19,90,16,70,0,-10,B1.5,1,0,0,1,0,0,0
1997-12-20,90,27,110,1,-6,B2.2,0,0,0,0,0,0,0
1997-12-21,92,30,190,0,11,B1.9,2,0,0,1,0,0,0
1997-12-22,97,41,260,0,3,B1.6,3,0,0,2,0,0,0
1997-12-23,104,72,700,2,-18,B2.1,0,0,0,0,0,0,0
1997-12-24,108,67,520,0,-5,B1.9,0,0,0,2,0,0,0
1997-12-25,105,56,470,0,-999,B1.4,0,0,0,2,0,0,0
1997-12-26,105,50,460,1,1,B1.8,1,0,0,2,0,0,0
1997-12-27,96,56,420,1,12,B1.4,1,0,0,0,1,0,0
1997-12-28,102,55,410,0,3,B1.2,0,0,0,1,0,0,0
1997-12-29,104,79,470,2,33,B1.2,0,0,0,1,0,0,0
1997-12-30,101,56,430,0,8,B1.4,0,0,0,0,0,0,0
1997-12-31,105,64,430,0,32,B1.2,4,0,0,5,0,0,0
1998-01-01,102,55,390,0,-999,B1.6,3,1,0,3,0,0,0
